# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
245           	4.262579e-02	N/A	1.874598e-03	1.874816e-02	1.443811e-02	1.952524e-02
246           	8.213866e-02	N/A	1.836611e-03	1.882007e-02	1.487573e-02	1.936665e-02
247           	4.939086e-02	N/A	1.885319e-03	1.815663e-02	1.554116e-02	1.963077e-02
248           	4.662443e-02	N/A	1.740096e-03	1.705105e-02	1.421550e-02	2.005958e-02
249           	3.230432e-02	N/A	1.541213e-03	1.502861e-02	1.391757e-02	1.850409e-02
250           	6.731099e-02	N/A	1.866086e-03	1.358817e-02	1.344496e-02	1.578029e-02
251           	8.401011e-02	N/A	2.102864e-03	1.480615e-02	1.397769e-02	1.690589e-02
252           	6.972318e-02	N/A	1.918718e-03	1.745275e-02	1.362678e-02	1.961090e-02
253           	4.075062e-02	N/A	2.077831e-03	1.965995e-02	1.514336e-02	2.052389e-02
254           	2.619720e-02	N/A	1.760582e-03	1.836573e-02	1.528630e-02	2.065310e-02
255           	2.311364e-02	N/A	1.579172e-03	1.871686e-02	1.457930e-02	1.988598e-02
256           	9.917311e-02	N/A	1.979863e-03	1.900970e-02	1.422514e-02	1.895489e-02
257           	7.263309e-02	N/A	2.484715e-03	1.896549e-02	1.526146e-02	2.022608e-02
258           	6.212367e-02	N/A	1.829455e-03	1.856811e-02	1.505233e-02	1.953047e-02
259           	3.147336e-02	N/A	1.531843e-03	1.773330e-02	1.503928e-02	2.010240e-02
260           	2.923142e-02	N/A	1.580426e-03	1.653099e-02	1.399933e-02	1.987102e-02
261           	3.993113e-02	N/A	1.560992e-03	1.447666e-02	1.352800e-02	1.727233e-02
262           	5.961594e-02	N/A	1.882768e-03	1.377797e-02	1.352291e-02	1.600589e-02
263           	4.641340e-02	N/A	1.712192e-03	1.606150e-02	1.389378e-02	1.764541e-02
264           	1.088415e-01	N/A	1.932468e-03	1.850539e-02	1.443865e-02	2.029352e-02
265           	4.732891e-02	N/A	2.490630e-03	1.980953e-02	1.745582e-02	2.221401e-02
266           	3.938348e-02	N/A	1.953241e-03	1.837632e-02	1.638082e-02	2.170329e-02
267           	3.511982e-02	N/A	1.833608e-03	1.927362e-02	1.587146e-02	2.170993e-02
268           	7.279325e-02	N/A	1.849186e-03	1.910450e-02	1.597849e-02	2.053871e-02
269           	5.396735e-02	N/A	1.936248e-03	1.913552e-02	1.586304e-02	2.059604e-02
270           	8.300205e-02	N/A	1.699215e-03	1.846821e-02	1.597070e-02	2.026774e-02
271           	3.396756e-02	N/A	1.929900e-03	1.783890e-02	1.568039e-02	2.114944e-02
272           	3.824867e-02	N/A	1.737434e-03	1.608796e-02	1.426962e-02	1.939513e-02
273           	3.149669e-02	N/A	1.607682e-03	1.413428e-02	1.417550e-02	1.710155e-02
274           	4.336917e-02	N/A	1.510027e-03	1.446335e-02	1.366928e-02	1.724911e-02
275           	3.315506e-02	N/A	1.486824e-03	1.697289e-02	1.434553e-02	1.891528e-02
276           	2.777532e-02	N/A	1.541203e-03	1.952895e-02	1.508880e-02	2.044555e-02
